Name,Link,Deadline,Award,Eligibility,About,Detailed_Eligibility,Benefits,How_to_Apply
OIST RESEARCH INTERNSHIP PROGRAM 2026,https://www.buddy4study.com/scholarship/oist-research-internship-program,12 days to go,Daily allowance and a fully-funded internship,UG and PG students or recent graduates,About The Program The OIST Research Internship Program 2026 is an opportunity provided by the Okinawa Institute of Science and Technology (OIST) to UG and PG students or recent graduates. The selected students will receive a daily allowance and a fully-funded internship.,"To be eligible, an applicant must:- be currently enrolled in the final two years of a bachelor's program or  be in any year of a master's program at a university, college, junior college, or vocational school in Japan or overseas, or  have already completed a bachelor's or master's degree. have approval from their home institution if currently enrolled as a student. have an academic background relevant to the desired host unit(s) at OIST. seek to gain additional research experience and show interest in applying to OIST’s PhD Program in the future.",The selected candidates will receive a daily allowance and a fully-funded internship.,"Eligible candidates can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Click on the red colour ‘Apply Now’ button on the lower right hand side of the page.  Step 4: Click ‘Create an account’ and enter the mentioned details.  Step 5: Click on the ‘Continue’ button. You will receive an email with a temporary PIN.  Step 6: Enter the temporary PIN and your date of birth.  Step 7: Enter a password of your choice and click on the ‘Set Password’ button.  Step 8: Click ‘Start New Application’ and select ‘Research internship application’ from the dropdown menu.  Step 9: Click ‘Create Application’ and then ‘Open Application’  Step 10: Read all the instructions and information`carefully, tick the check boxes, and click on ‘Continue’ Step 11: Enter all the mentioned details accurately and submit your application."
UNIVERSITY OF NOTTINGHAM DEVELOPING SOLUTIONS MASTERS SCHOLARSHIP 2026,https://www.buddy4study.com/scholarship/university-of-nottingham-developing-solutions-masters-scholarship,12 days to go,Scholarships covering 50% to 100% tuition fee,Students pursuing a Master’s programme from September 2026,"About The Program The University of Nottingham Developing Solutions Masters Scholarship 2026 is an opportunity offered by the University of Nottingham, to students domiciled in Commonwealth countries pursuing a Master’s programme from September 2026. This scholarship aims to support innovative and passionate students who can propose development solutions for their home countries and bring about a change. The selected candidates shall receive scholarships covering 50% to 100% tuition fee.","To be eligible, an applicant must:- be domiciled in Africa, India, or one of the selected Commonwealth countries listed.   be classed as an overseas student for fee purposes.   hold an offer to start a full-time master’s (including MRes) course in September 2026 at the University of Nottingham, UK.   be applying to study within the Faculty of Engineering, Faculty of Medicine and Health Sciences, Faculty of Science, or Faculty of Social Sciences. Ineligibility Criteria: Current students or graduates of the University of Nottingham Individuals currently studying in the UK. Students who have been awarded an undergraduate or postgraduate degree outside their home country.",The selected candidates shall receive scholarships covering 50% to 100% tuition fee.,"Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Students who have received an offer to study with the University of Nottingham can apply through the scholarship section of the application system. Students with an offer for an MRes course shall email the scholarships team on scholarship-assistant@nottingham.ac.uk for instructions on how to apply."
IDRBT SUMMER INTERNSHIP PROGRAMME (ISIP) 2026,https://www.buddy4study.com/scholarship/idrbt-summer-internship-programme-isip,12 days to go,"A monthly stipend of ₹14,000",UG and PG students,"About The Program IDRBT Summer Internship Programme (ISIP) 2026 is an opportunity provided by the Institute for Development and Research in Banking Technology (IDRBT). The internship offers graduate and postgraduate students the opportunity to carry out projects in the field of banking and financial technologies. Selected candidates will receive a monthly stipend of ₹14,000.","To be eligible, an applicant must:- be pursuing their second-to-last year in a recognised and esteemed institute in India in one of the following: post-graduate courses in the fields of technology or management, or   4-year undergraduate programme in IT and related domains","Selected candidates will receive a monthly stipend of ₹14,000. Accommodation facilities on a first come first serve basis, specially for outstationed and female interns at the IDRBT Staff Quarters, Begumpet(subject to availability).  Note:- High-performing interns may be considered for an assessment internship of 6 months. Top-performing assessment interns may receive a placement subject to internal guidelines of the respective institute.","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to ‘How can students apply?’ section. Step 4: Fill in the required details and submit the online application.  Step 5: Attach all the required documents in an email with the subject ‘Application to IDRBT Summer Internship Programme’ and send it to:‘isip@idrbt.ac.in’ Note:- Changes in the application shall not be permitted after submission."
NOTTINGHAM UNIVERSITY DEVELOPING SOLUTIONS MASTERS SCHOLARSHIP 2026,https://www.buddy4study.com/scholarship/nottingham-university-developing-solutions-masters-scholarship-2026,12 days to go,Up to 100% tuition fees coverage,Undergraduate international student,"About The Program Nottingham Developing Solutions Masters Scholarship 2026 is an opportunity provided by the University of Nottingham for international students who want to make a positive change to the development of key economic, environmental, structural, social, or political structures in their home country. It aims to support innovative and passionate students who can effectively showcase their creativity in developing solutions. Selected candidates will receive full-time Master’s tuition fees covering up to 100%.","To be eligible, an applicant must:- be domiciled in one of the selected Commonwealth countries be classified as overseas students for fee purposes hold an offer to start a full-time Master's program for the 2026-27 be studying in the Faculty of Engineering, Faculty of Medicine and Health Sciences, Faculty of Science or Faculty of Social Sciences Note:- Ineligibility includes: a current student or graduate of the University of Nottingham students completed an undergraduate or postgraduate degree outside of their home country students currently studying in the UK",Selected candidates will receive a scholarship covering 50% or 100% of full-time Master’s tuition fees for one year.,"Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Scroll down and click ‘Apply Now’. Step 4: Select your campus and select student type  Step 5: Select the respective undergraduate option. Step 6: Click on ‘create an account’ and fill in the necessary details to register. Step 7: After successful registration, fill in the necessary details, upload the required documents."
NIDM INTERNSHIP PROGRAMME 2026,https://www.buddy4study.com/scholarship/nidm-internship-programme-2026,12 days to go,"Stipend upto ₹15,000",UG and PG students in the Disaster Management field,"About The Program NIDM Internship Program 2026 is offered by the National Institute of Disaster Management (NIDM), under the Ministry of Home Affairs, Government of India. The programme is designed to engage young minds in disaster risk reduction and build their capacity through hands-on, experiential learning.  This internship consists of both non-stipend and stipend-based internship tracks, which are available for students from recognised universities and institutes across India. The student selected for the stipend program will receive the stipend up to ₹15,000.","To be eligible, an applicant must:- For Non-Stipend Internship: be a student enrolled in a recognised university or institute be in the final year of graduation OR in any year/semester of postgraduation have a minimum of 60% marks in relevant disciplines For Stipend-Based Internship: be enrolled as a final year student in a recognised university or institute in an undergraduate or postgraduate programme Or be an M.Phil./Ph.D. scholar, and recent graduates from Disaster Management (preferably)  have a minimum of 65% marks in their last academic programme/semester","Non-Stipend Internship: Hands-on exposure to disaster risk reduction work Stipend-Based Internship: Stipend of ₹12,000 per month for undergraduate students Stipend of ₹15,000 per month for postgraduate students","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to the ‘Stipend-based Internship Programme (2026-27) New’. Step 4: Fill in the required fields in the Google form and upload the necessary documents. Then, click on the ‘Submit’ button."
MIT-WPU ADMISSION SCHOLARSHIP 2026-27,https://www.buddy4study.com/scholarship/mit-wpu-admission-scholarship-2026,12 days to go,Variable benefits,Students pursuing higher education at the university,"About The Program The MIT-WPU Admission Scholarship 2026-27 is an opportunity offered by MIT World Peace University, which provides financial assistance and scholarships worth ₹50 crores to meritorious students pursuing higher education at their university. Selected candidates will receive various benefits under multiple available opportunities.","To be eligible, an applicant must:- be pursuing an available degree program at the MIT-WPU excel in the national/state-level entrance exams excel in the MIT-WPU internal exams Note: Applicants must meet the individual eligibility requirements of the respective program and the scholarships. For more information, refer to the official university website.",Selected candidates will receive:- MIT-WPU Merit Scholarship-I: 50% fee waiver in total academic fee for the entire duration of the program. MIT-WPU Merit Scholarship-II: 25% fee waiver in total academic fee for the entire duration of the program. Dr. Vishwanath Karad Scholarship: 100% fee waiver for the entire duration of the program. Scholarships to Elite Sportsperson: Up to 70% fee waiver based on participation/awards at the national/international level. Hon'ble Shri. T. N. Seshan Scholarship: 15% fee waiver for the wards of in-service public servants with a minimum of 5 years of experience in government service.,"Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: No separate application is required. Applicants will be assessed based on admission and academic performance."
IMPERIAL COLLEGE LONDON INTERNATIONAL BACCALAUREATE EXCELLENCE SCHOLARSHIPS 2026-27,https://www.buddy4study.com/scholarship/imperial-college-london-international-baccalaureate-excellence-scholarships-2026,24-Apr-26,"£5,000 per annum",Undergraduate students,"About The Program The Imperial College London International Baccalaureate Excellence Scholarships 2026-27 is an opportunity provided by Imperial College, London, to undergraduate students in specified departments. Selected candidates will receive a bursary of £5,000 per annum for the duration of their study.","To be eligible, an applicant must:- be an international student paying the Overseas rate of tuition be pursuing the International Baccalaureate (IB) diploma program and have excellent academic performance apply for a UG course in the Faculty of Engineering, the Faculty of Natural Sciences, or Imperial Business School","Selected candidates will receive a bursary of £5,000 per annum for the duration of their studies.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: There is no separate application. Outstanding IB applicants will be nominated for this scholarship by the Imperial faculties and departments during the admission process."
IASH POSTDOCTORAL FELLOWSHIPS 2026-27,https://www.buddy4study.com/scholarship/iash-postdoctoral-fellowships,24-Apr-26,"Bursary of up to £20,000 and other benefits",Students with a PhD degree,"About The Program The IASH Postdoctoral Fellowships 2026-27 is an opportunity offered by the Institute for Advanced Studies in the Humanities (IASH) at the University of Edinburgh to students with a PhD degree. This fellowship provides postdoctoral researchers with an opportunity to further enhance their skills in their area of interest and expertise. The selected candidates shall receive a bursary of up to £20,000 and other benefits.","To be eligible, an applicant must:- have been awarded a doctorate at the time of application, normally within the last three years (i.e. graduated between 2023 and 2026).   provide a transcript, testamur, or a letter of completion/eligibility to graduate if not yet formally graduated at the time of application.   not have held a permanent position at a university.   not have previously held a Fellowship at the Institute for Advanced Studies in the Humanities.   be applying with a research topic in the arts, humanities, or social sciences.","The selected candidates shall receive: Research stay at the University of Edinburgh for a duration of three to ten months. Bursary of up to £20,000. Access to a dedicated office space, university email account, and library resources. Guidance from a University mentor aligned with the Fellow’s research interests. Participation in weekly Fellows’ Lunches to foster community and networking. Opportunity to present and refine work in progress through seminar series. Access to a rich calendar of academic and cultural events at the Institute and College. Possibility to organize and contribute to funded workshops, colloquia, and related events.","Eligible candidates can apply by following these steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to the section of ‘Application Procedure’ and click on ‘click here’ Step 4: Enter all the mentioned details, upload the necessary documents, and click on the ‘Submit your application’ button."
O'SHAUGHNESSY FELLOWSHIPS 2026,https://www.buddy4study.com/scholarship/o-shaughnessy-fellowships-2026,30-Apr-26,"Fellowship of $1,00,000 for 1 year",Researchers,"About The Program The O'Shaughnessy Fellowships & Grants 2026 is offered by O'Shaughnessy Ventures (OSV). The program is a prestigious equity-free funding opportunity designed to support exceptional individuals pursuing scientific, technological, artistic, and humanitarian projects. Selected fellows will receive $1,00,000 for 1 year and other benefits.","To be eligible, an applicant must:- be a self-directed individual with a vision to advance civilisation have prolific problem-solving abilities show relentless resourcefulness and exceptional judgment be working on something that can radically transform the world Note:-  The program is open to adults worldwide, regardless of background.  Previous applicants have ranged from age 13 to individuals in their 70s.  No specific educational credentials required.","Selected fellows will receive $1,00,000 (approx.₹90,12,450.00) in equity-free funding for 1 year with 100% ownership retention. Additionally, up to 20 exceptional individuals receive at least $10,000(approx ₹9,01,245.00) and access to OSV's network of founders, investors, and experts.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Click on the 'Apply Now' button. Step 4: Fill in the required details and upload the necessary documents. Then click on the ‘Submit Application’ button."
LPUNEST STUDY GRANT 2026-27,https://www.buddy4study.com/scholarship/lpunest-study-grant-2026,30-Apr-26,Study grant of ₹1 Lakh,Top LPUNEST qualifiers,"About The Program The LPUNEST Study Grant (8th Edition) 2026-27 is a flagship initiative of Lovely Professional University that aims to ensure that financial limitations do not hinder access to quality higher education. Through this program, LPU supports meritorious and deserving students pursuing studies at premier institutions such as IITs, NITs, AIIMS, IIMs, NLUs, and other Central and State Government institutions ranked in the NIRF India Ranking 2025. Since its inception in 2019, the LPUNEST Study Grant has benefitted over 670 students by disbursing more than ₹8 Crore in financial assistance. The 8th edition seeks to continue this commitment by providing study grants to eligible candidates across India.","Selected number of students (across six different disciplines as per LPUNEST merit list) qualifying for the LPUNEST exam will get a study grant of up to Rs. 1 Lac, even if one intends to study in other educational institutions like IITs/ NITs/ All AIIMS or Government Universities/Colleges (Central/State) ranked in NIRF India Ranking 2025: Medical/ IIMs/ NLUs/ IHMs/ NIDs/ IIT (IDC/DoD)/NIFTs.","Institute Eligible Programs Students to be considered Amount of grant (per student) IITs/NITs B.E/B.Tech Top 500 candidates of LPUNEST B.Tech 2026 ₹1,00,000 All AIIMS or Government Universities/Colleges (Central/State) ranked in NIRF India Ranking 2025: Medical MBBS Top 100 candidates of LPUNEST UG Sciences 2026* IIMs Post Graduate Programmes Top 100 candidates of LPUNEST MBA 2026 NIDs/IIT(IDCs)/IIT(DoDs)/NIFTs B.Des/B.F.Tech Top 100 candidates of LPUNEST UG Design 2026 NLUs B.A. LLB (Hons)/B.Com LLB (Hons)/BBA LLB (Hons)/B.Sc LLB (Hons) Top 100 candidates of LPUNEST Int LAW 2026 IHMs B.Sc. Top 100 candidates of LPUNEST UG Hotel Management 2026 *LPUNEST (UG Agriculture, Pharmacy and Physiotherapy) and LPUNEST (Under Graduate (with science combination)) taken together.","STEP 1 Register for LPUNEST 2026 - STEP 2 Complete all the process, and appear for LPUNEST Qualifying LPUNEST is mandatory STEP 3 The candidate has to take admission in any of the select institute (as mentioned on the university website) www.lpu.in/studygrant (for more details) After taking admission in any of the listed institutes STEP 4 Login at the LPUAdmit portal with your registered email/phone number and password   STEP 5 Click on Apply for Study Grant claim tab, which will be visible once the counselling of all considered institutes are over   STEP 6 Enter your details, name of institute where you got admission, select the course and submit all the documents as mentioned in the next column.   STEP 7 Submit your Studygrant form and wait for the result declaration   The details and proofs submitted by the candidate will be cross-checked and after the verification, the merit list will be declared as per the institutes and the candidate can check their status of selection at the LPUAdmit portal. STEP 8 Result Declaration   STEP 9 Verification of    Original Documents and Disbursement"
IMPERIAL COLLEGE LONDON LORD ROBERT MAY SCHOLARSHIP 2026-27,https://www.buddy4study.com/scholarship/imperial-college-london-lord-robert-may-scholarship-2026,30-Apr-26,Full tuition fees and stipend,Postgraduate students,"About The Program The Imperial College London Lord Robert May Scholarship 2026-27 is an opportunity provided by Imperial College, London. It was established in honour of Lord Robert May of Oxford (1936–2020), one of the most influential theoretical ecologists of his generation. Selected candidates will receive full tuition fees with a stipend.","To be eligible, an applicant must:- an international (overseas) student hold an offer to study one of the following programs for Autumn 2026: MSc Living Planet with Computational Methods in Ecology and Evolution MSc Epidemiology","Selected candidates will receive tuition fees paid in full and receive a stipend for living costs equating to £22,041 per annum.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Apply for an eligible program and receive an offer of admission. Step 4: Scroll down to ‘Application process’ and click on the given link for the scholarship application. Step 5: Complete the application by following the necessary steps."
INMAS DRDO INTERNSHIP 2026,https://www.buddy4study.com/scholarship/inmas-drdo-internship-2026,30-Apr-26,"Stipend of ₹5,000 and other benefits",UG/PG students from Engineering or Science,"About The Program The INMAS DRDO Internship 2026 is offered by the Institute of Nuclear Medicine and Allied Sciences (INMAS), a specialised laboratory under the Defence Research and Development Organisation (DRDO), Ministry of Defence, Government of India. This internship is a prestigious opportunity designed to support meritorious final-year students pursuing Engineering or Science degrees. Selected students will receive a stipend of ₹5,000 along with other benefits. The internships are open for the two categories: Category 1: For Under-Graduate Internship Category 2: For Post-Graduate Internship","To be eligible, an applicant must:- be an Indian National be a final-year student pursuing a full-time B.E./B.Tech. (7th/8th Semester) or M.Sc./M.Tech. (3rd/4th Semester) have a minimum academic score of 75% or more than 7.5 CGPA on a scale of 10 be below 28 years of age Note:-  Students who have studied or are currently studying outside India are not eligible to apply. For more details, please refer to the guidelines.","Selected students will receive a stipend of ₹5,000 per month for a 6-month internship tenure, paid in two instalments. A Certificate of Completion will also be awarded upon successful completion of the project work and submission of the project report.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Scroll down to the ‘Application’ section and click on the ‘Google Form’. Step 4: Fill in the required details and upload the required details. Then click on the ‘Submit’ button. Step 5: In addition to the Google application, candidates are also required to email the application.  Step 6: Download and fill in the Application Form (Annexure 'A'). Step 7: Prepare a single PDF containing all required documents in the specified order. Step 8: Email the application to research-academic@gov.in with the subject line: 'Application for Paid Internship – Post Code: [XXX] – [Discipline Name]'."
THE UNIVERSITY OF BIRMINGHAM FUTURE SKILLS SCHOLARSHIP 2026,https://www.buddy4study.com/scholarship/the-university-of-birmingham-future-skills-scholarship-2026,30-Apr-26,"An award ranging from £9,125 to £12,500",Indian students applying to the University of Birmingham,"About The Program The University of Birmingham Future Skills Scholarship 2026 is offered by the University of Birmingham. The scholarship is a prestigious financial award designed to support outstanding Indian students pursuing undergraduate or postgraduate programs. Selected candidates will receive an award of £12,500.","To be eligible, an applicant must:- be an international student from India pursue a full-time course at Birmingham University at Uk campus: MSc Business Analytics MSc Marketing MSc Data Science MSc Advanced Engineering Management (and all pathways) MPH Public Health MSc Molecular Biotechnology MA International Relations Any LLM (Law) course (Excluding LLM Energy and Environmental Law (Distance) hold an unconditional or conditional offer of admission for the academic year 2026 be classed by the University as an overseas fee payer for tuition fees","The selected students will receive an award ranging from £9,125 (₹11,47,180.40) to £12,500(₹15,71,480.00) depending on their respective courses. Subject-wise scholarship amounts are structured as follows: MSc Business Analytics: £12,500 MSc Marketing: £12,500 MSc Data Science:  £12,500 MSc Advanced Engineering Management: £12,500 MPH Public Health: £12,500 MSc Molecular Biotechnology: £12,500 MA International Relations:£9,125 Any LLM (Law) course: £9,125","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: No separate scholarship application is required for the Future Skills Scholarship. This is an automatic award for all students who hold an unconditional offer by the deadline of 30 April 2026."
"NIRMAN SHRAMIK KALYAN YOJANA SCHOLARSHIP, ODISHA 2026-27",https://www.buddy4study.com/scholarship/nirman-shramik-kalyan-yojana-scholarship-odisha-2026,30-Apr-26,"An annual financial assistance of up to ₹40,000",Students studying in Class 6 and above,"About The Program Nirman Shramik Kalyan Yojana Scholarship, Odisha 2026-27 is an opportunity offered by the Labour & ESI Department, Government of Odisha to General, ST, SC, OBC, SEBC, and EBC category students studying in Class 6 and above. The objective of this scheme is to provide financial support to the wards of construction workers for their studies. The selected students will receive educational assistance up to ₹40,000 per annum.","To be eligible, a candidate must -  be an Indian citizen  be a domicile of Odisha  be studying in Class 6 and above at a recognised school/ institution/university be a ward of building or construction worker belong to the General, Scheduled Tribe (ST), Scheduled Caste (SC), Other Backward Classes (OBC), Socially and Economically Backward Classes (SEBC), and Economically Backward Classes (EBC) category have secured 50% attendance in the academic session have cleared the previous examination","The selected candidates can receive the following benefits -  Particulars Educational Assistance (in ₹ per annum) For Class 6 and 7 (to female children only) 2,000 For Class 8 (to all children) 2,000 For Class 9 (to all children) 3,000 For Class 10 (to all children) 4,000 Cash award to all children securing 90% or above in Class 10 10,000 For Class 11 and 12 5,000 For B.A., B.Sc.,B.Com. and PG studies 7,000 For B.Tech./B.C.A/M.B.A/B.Arch./M.Arch./M.Tech./M.Sc./B.Pharma./Hotel Management and catering services/Medical (includes allopathic, ayurvedic, and homeopathic) in government colleges only 40,000 For B.Ed/CT/Nursing training in government colleges 10,000 Note:- Female child will receive a 20% additional benefit over and above normal educational assistance.","Eligible candidates can apply by following these steps:- Step 1: Click the ‘Apply Now’ button below. Step 2: Click on the 'Register' button on the right-hand side of the dashboard and fill in the required details to 'Register'. (Note:- If already registered, log in using the registered email ID.) Step 3: Navigate to the 'Registration' tab, tick the check box, and click on the 'I Agree' button. Step 4: Read carefully and enter the required details to register. Step 5: After successful registration, log in with valid credentials. Step 6: Provide all necessary details like personal, academic eligibility, and bank information and click on the 'Save' button to draft the information Step 7: Click on the 'Next' to save and proceed with the scholarship form. Step 8: Upload the relevant documents and 'Submit' the application form."
KIRAN PRATIBHA SCHOLARSHIP 2026,https://www.buddy4study.com/scholarship/kiran-pratibha-scholarship-2026,30-Apr-26,Tuition fee and other benefits,Students who have passed the 8th standard or are at least 14 years of age,"About The Program The Kiran Pratibha Scholarship 2026  is an opportunity provided by the Kiran Foundation to Students who have passed the 8th standard or are at least 14 years of age. This scholarship supports the education of highly talented, underprivileged students. The selected candidates shall receive tuition fee and other benefits.","To be eligible, an applicant must: have passed Class 8 or be 14 years of age or older belong to a family with a monthly income less than ₹20,000 not be receiving any other government scholarships",The selected candidates shall receive: Tuition fees Study materials and equipments Boarding expenses Career guidance and mentorship,"Eligible candidates can apply for the scholarship through the following steps:- Step 1: Click on the 'Apply Now' button below.  Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Scroll down and click ‘Apply for Scholarship’ Step 4: Fill in the mentioned details in the application form and submit it."
UNIVERSITY OF WARWICK ACADEMIC EXCELLENCE SCHOLARSHIPS 2026,https://www.buddy4study.com/scholarship/university-of-warwick-academic-excellence-scholarships-2026,30-Apr-26,"An Award of £5,000",Engineering PG students,"About The Program The Warwick School of Engineering Academic Excellence Scholarship 2026 is offered by the University of Warwick. The scholarship is a prestigious merit-based financial award designed to support high-achieving students joining a taught master's course in the School of Engineering. Selected candidates will receive an award of £5,000 each.","To be eligible, an applicant must:- be a Home or International student hold a conditional or unconditional offer for one of the eligible taught master's programmes by 30 April 2026 demonstrate academic excellence as evidenced through their application and final or predicted degree results Note:- Home students who are awarded a University of Warwick Taught Master's Scholarship are not eligible to receive this scholarship or the STEM Connect Scholarship.","The selected students will receive an award of £5,000","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: There is no separate scholarship application. All eligible applicants who hold a conditional offer by 30 April 2026 will be automatically considered based on their application and final or predicted degree results."
MAYNOOTH UNIVERSITY INTERNATIONAL MERIT AWARD 2026,https://www.buddy4study.com/scholarship/maynooth-university-international-merit-award-2026,30-Apr-26,"€1,500 tuition fee discount",International students,"About The Program The Maynooth University International Merit Award 2026 is offered by Maynooth University. The scholarship is a prestigious financial award designed to recognise high-achieving international students who have accepted their offer to study at Maynooth University. Selected candidates will receive a €1,500 tuition fee discount.","To be eligible, an applicant must:- be a Non-EU fee-paying international student. be applying for a full-time undergraduate (UG) or postgraduate taught (PGT) programme. have accepted their offer and paid their deposit before 30th April. PGT applicants must have a minimum overall result in their primary degree of at least 80%.","The selected students will receive a tuition fee discount of €1,500.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID)."
ROLLS-ROYCE WINGS4HER KIND CIRCLE SCHOLARSHIP 2025–26,https://www.buddy4study.com/page/rolls-royce-wings4her-kind-circle-scholarship,30-Apr-26,"Fixed one-time scholarship of INR 25,000",For female students pursuing full-time undergraduate engineering programme,"About The Program The Rolls-Royce Wings4Her Kind Circle Scholarship 2025–26 is a distinguished initiative by Rolls-Royce India Pvt. Ltd., designed to provide financial assistance to exceptional female students pursuing engineering degrees. This scholarship is specifically available to female students enrolled in the 1st, 2nd, or 3rd year of undergraduate engineering programs at AICTE-recognised institutions across India. Awardees of this scholarship will receive INR 25,000 to support their academic expenses throughout their engineering studies. Additionally, the program offers valuable mentorship opportunities with leading professionals from Rolls-Royce India, further enriching the scholarship experience and strengthening the support system for eligible students. About Rolls-Royce India Rolls-Royce India’s Corporate Social Responsibility (CSR) initiatives reflect the company’s unwavering commitment to creating a sustainable and positive impact on society. By leveraging its technological expertise and global presence, Rolls-Royce India has focused on fostering education, skill development, and environmental sustainability. The o Read More...","To be eligible under the Rolls-Royce Wings4Her Kind Circle Scholarship 2025–26, applicants must: Be female students currently pursuing a full-time undergraduate engineering programme Be studying in the 1st, 2nd, or 3rd year of the engineering course Be enrolled at an AICTE-recognised institution in India Be pursuing engineering in disciplines such as aerospace, computer science, electronics, marine engineering, or related fields Have scored at least 60% marks in both Class 10 and Class 12 board examinations Have a total annual family income not exceeding INR 4,00,000 from all sources Note: Preference will be given to applicants who are: Persons with disabilities Single-parent children or orphans Studying in government colleges Final selection will be merit-cum-means based and rests with RRIPL.","Each selected scholar will receive a fixed one-time scholarship of INR 25,000. Support may include: Tuition fees Books and study materials Coaching Examination fees Transport and local commute Food and basic living expenses for outstation students not living with their parents Essential academic and skill-development requirements","Click the ‘Apply Now’ button below. Log in to Buddy4Study with your registered ID and land on the ‘Application Form Page’. If not registered, register at Buddy4Study with your Email/Mobile/Gmail account. You will now be redirected to the ‘Rolls-Royce Wings4Her Kind Circle Scholarship 2025–26’ application form page. Click on the ‘Start Application’ button to begin the application process. Fill in the required details in the online application form. Upload relevant documents. Accept the ‘Terms and Conditions’ and click on ‘Preview’. If all the details filled in by the applicant are correctly showing on the preview screen, click on the ‘Submit’ button to complete the application process."
ADOBE INDIA AI RESEARCH FELLOWSHIP 2026,https://www.buddy4study.com/scholarship/adobe-india-ai-research-fellowship-2026,30-Apr-26,"A stipend of ₹12,00,000 for a year",PhD students in AI and Computer Science,"About The Program The Adobe India AI Research Fellowship 2026 is offered by Adobe Research, the innovation and research arm of Adobe Inc. The fellowship is a prestigious recognition program designed to support outstanding graduate students pursuing doctoral research in areas of computer science relevant to Adobe, including Artificial Intelligence, Machine Learning, Computer Vision, Natural Language Processing, and Human-Computer Interaction. Selected candidates will receive a stipend of ₹12,00,000 for a year.","To be eligible, an applicant must:- be a full-time PhD student at a recognised university in India remain enrolled as an active, full-time PhD student for the full duration of the fellowship year be conducting research in areas relevant to Adobe, including Artificial Intelligence & Machine Learning, Computer Vision, Natural Language Processing, Human-Computer Interaction, Audio, Data Intelligence, Graphics (2D & 3D), or Document Intelligence   Note: Applicants who have previously held the Adobe Research Fellowship are not eligible to reapply. Students invited for phone interviews may also be considered for internship opportunities.","The selected fellows will receive a stipend of ₹12,00,000 for a year.","Eligible applicants can apply by following these steps:- Step 1: Click on the 'Apply Now' button below. Step 2: Click on the 'Register' button and fill in the required registration details (Note:- If already registered, log in using Gmail/Mobile number/Email ID). Step 3: Navigate to the ‘APPLY NOW’ button. Step 4: Fill in the email address and click ‘Next’ to proceed with your application."
